ID,Nº,ENFOMASYON,ADRéS,latitud,longitud,Name
1,1,,Alejandro Villalobos 218,-33.67683,-71.23654,1
2,2,,Amancay 2653,-33.67258,-71.235247,1
3,3,,Luis Olea 2583,-33.675091,-71.235997,1
4,4,,Magno Espinoza 17,-33.675287,-71.23548,1
5,5,,"Pje. Amancay 2653, Melipilla, Región Metropolitana, Chile",-33.672572,-71.235274,1
6,1,,Lago Puyehue 287,-33.68259,-71.2266,10
7,2,,Las Torres 610 - Block A34,-33.68679,-71.2246,10
8,3,Entre Brasilia y pullehue al lado bazar,Merced,-33.68429,-71.2266,10
9,4,Al lado de 1250A,Merced 1250,-33.68431,-71.22529,10
10,5,Esq. Las Torres,"Zolla Rousseou Vargas casa al fondo, al lado derecho de la 1174.",-33.68548,-71.22383,10
11,1,esquina Lago Villarrica,Arza 1677,-33.68174,-71.22729,11
12,2,,Arza 1689,-33.6818,-71.2274,11
13,3,Almacén azul,Esquina de lago Villarica con Arza,-33.68188,-71.22719,11
14,4,,Lago Caburga 339,-33.683223,-71.229047,11
15,5,Almacen Don Kesner,Lago Caburga 358,-33.683485,-71.229169,11
16,6,,Lago Cólico 1776,-33.68359,-71.22892,11
17,7,,Lago Llanquihue 315,-33.682914,-71.226979,11
18,8,,"Lago Meullin 1651, 9580029 Melipilla, Región Metropolitana, Chile",-33.685288,-71.227273,11
19,9,,Lago Rupanco 272,-33.682504,-71.22771,11
20,10,,Lago Rupanco 489,-33.68508,-71.22785,11
21,11,,Lago Todos Los Santos 1684,-33.68267,-71.22735,11
22,12,,Lago verde 419,-33.6845,-71.2285,11
23,13,,Lago verde 420,-33.68421,-71.22877,11
24,14,,Lago Yulton 1709,-33.68489,-71.2285,11
25,15,casa con cartel psje. lago yulto,Lago yulton con lago verde,-33.68489,-71.2286,11
26,1,,Carlos Avilés 438 depto b-20,-33.68596,-71.22995,12
27,2,,Esperanza lado derecho 1634,-33.68709,-71.22689,12
28,3,,"Gabriela Mistral 1812, 9580297 Melipilla, Región Metropolitana, Chile",-33.685913,-71.229734,12
29,4,,Gabriela Mistral 1820 depto b20,-33.68489,-71.2303,12
30,5,,Gabriela Mistral block 1545 depto b30,-33.6866,-71.2276,12
31,6,,Gabriela Mistral block 1689 depto a30,-33.68629,-71.22869,12
32,7,,"Gabriela Mistral Block 1871, depto A-23",-33.6859,-71.2303,12
33,8,Negocio por C.Avilés,Gabriela Mistral block 1891 depto. A10,-33.6859,-71.23065,12
34,9,,Gabriela Mistral block 1891 depto. A13,-33.685995,-71.230431,12
35,10,,Gabriela Mistral block 1891 depto. A31,-33.6859,-71.23049,12
36,11,,Libertad 1625,-33.68619,-71.22779,12
37,12,Al llegar a Carlos Avilés,Libertad 1875,-33.68431,-71.23018,12
38,13,,Los Daneses 742,-33.68709,-71.2292,12
39,14,,Violeta Parra 490,-33.68608,-71.22928,12
